Time,Temperature,Pressure,Sound,Light,Pressure,Humidity,Comment
s,°C,kPa,dBA,lx,kPa,%RH,

155.52,32.7,96.7,63.4,100,97.15,60.6,
156.48,32.8,96.7,40.0,103,97.15,60.6,
157.44,32.8,96.7,76.8,108,97.18,60.6,
158.4,32.9,96.7,72.5,110,97.17,60.6,
159.36,32.9,96.8,61.1,92,97.17,60.6,
160.32,33.0,96.8,66.1,84,97.20,60.6,
161.28,33.0,96.8,41.7,103,97.18,60.6,
162.24,33.1,96.8,40.0,106,97.18,60.5,
163.2,33.1,96.8,76.5,104,97.19,60.5,
164.16,33.1,96.8,53.6,107,97.19,60.5,
165.12,33.1,97.0,65.2,107,97.16,60.5,
166.08,33.2,97.0,59.3,104,97.14,60.5,
167.04,33.2,97.0,77.3,106,97.13,60.5,
168,33.3,97.0,63.9,105,97.17,60.4,
168.96,33.3,97.2,40.0,108,97.17,60.4,
169.92,33.3,97.0,76.3,109,97.16,60.4,
170.88,33.3,97.0,74.5,108,97.18,60.4,
171.84,33.4,97.2,45.0,107,97.13,60.3,
172.8,33.4,97.4,69.8,110,97.17,60.3,
173.76,33.4,97.4,78.7,108,97.17,60.3,
174.72,33.4,97.6,63.3,99,97.16,60.2,
175.68,33.5,97.6,59.5,98,97.16,60.2,
176.64,33.5,97.6,47.3,98,97.19,60.2,
177.6,33.5,97.6,64.3,97,97.17,60.1,
178.56,33.5,97.6,82.2,81,97.15,60.1,
179.52,33.6,97.6,40.0,80,97.16,60.0,
180.48,33.6,97.6,68.1,92,97.18,60.0,
181.44,33.6,97.8,56.2,86,97.14,60.0,
182.4,33.6,97.6,40.0,101,97.18,59.9,
183.36,33.6,97.8,74.6,102,97.18,59.9,
184.32,33.7,97.8,86.8,60,97.14,59.9,
185.28,33.7,97.8,81.5,51,97.17,59.8,
186.24,33.7,97.8,59.4,51,97.16,59.8,
187.2,33.7,97.8,65.6,54,97.18,59.8,
188.16,33.8,97.8,75.1,71,97.13,59.7,
189.12,33.8,97.8,41.0,96,97.15,59.7,
190.08,33.8,97.8,51.0,101,97.17,59.6,
191.04,33.8,97.8,62.0,108,97.15,59.6,
192,33.8,97.8,59.5,108,97.19,59.6,
192.96,33.8,98.0,40.0,99,97.14,59.6,
193.92,33.9,98.0,40.0,96,97.17,59.5,
194.88,33.9,98.0,40.0,99,97.14,59.5,
195.84,33.9,98.0,54.7,99,97.16,59.5,
196.8,33.9,98.0,40.0,99,97.19,59.4,
197.76,33.9,98.0,56.8,99,97.18,59.4,
198.72,34.0,98.0,55.5,99,97.16,59.4,
199.68,34.0,98.0,40.0,100,97.13,59.4,
200.64,34.0,98.0,73.5,92,97.15,59.4,
201.6,34.0,98.0,71.5,70,97.18,59.3,
202.56,34.0,98.2,66.7,59,97.15,59.3,
203.52,34.0,98.2,57.1,86,97.15,59.3,
204.48,34.0,98.2,54.3,98,97.15,59.3,
205.44,34.0,98.0,47.7,116,97.19,59.3,
206.4,34.1,98.2,46.3,120,97.13,59.2,
207.36,34.1,98.2,72.2,120,97.17,59.2,
208.32,34.1,98.2,69.7,120,97.17,59.2,
209.28,34.1,98.2,51.2,119,97.18,59.2,
210.24,34.1,98.2,61.4,118,97.18,59.2,
211.2,34.1,98.4,40.0,117,97.18,59.1,
212.16,34.1,98.4,61.2,118,97.14,59.1,
213.12,34.1,98.4,55.3,101,97.14,59.1,
214.08,34.2,98.4,68.4,90,97.17,59.1,
